1,Afganistán
2,Albania
3,Argelia
4,Samoa Americana
5,Andorra
6,Angola
7,Anguilla
8,Antártida
9,Antigua y Barbuda
10,Argentina
11,Armenia
12,Aruba
13,Australia
14,Austria
15,Azerbaiyán
16,Bahamas
17,Bahrein
18,Bangladesh
19,Barbados
20,Bielorrusia
21,Bélgica
22,Belice
23,Benín
24,Bermudas
25,Bután
26,Bolivia
27,Bosnia-Herzegovina
28,Botswana
29,Brasil
30,Brunei Darussalam
31,Bulgaria
32,Burkina Faso
33,Burundi
34,Camboya
35,Camerún
36,Canadá
37,Cabo Verde
38,Islas Caimán
39,República Centroafricana
40,Chad
41,Chile
42,China
43,"Isla De Navidad"
44,Islas Cocos
45,Colombia
46,Comores
47,República Democrática del Congo
48,República del Congo
49,Islas Cook
50,Costa Rica
51,Costa de Marfil
52,Croacia
53,Cuba
54,Chipre
55,República Checa
56,Dinamarca
57,"Djibouti, Yibuti"
58,Dominica
59,"Dominicana, República"
60,Timor Oriental
61,Ecuador
62,Egipto
63,El Salvador
64,Guinea Ecuatorial
65,Eritrea
66,Estonia
67,Etiopía
68,Islas Malvinas
69,Islas Feroe
70,Fiyi
71,Finlandia
72,Francia
73,Guayana Francesa
74,Polinesia Francesa
75,Tierras Australes y Antárticas Francesas
76,Gabón
77,Gambia
78,Georgia
79,Alemania
80,Ghana
81,Gibraltar
82,Gran Bretaña
83,Grecia
84,Groenlandia
85,Granada
86,Guadalupe
87,Guam
88,Guatemala
89,República Guinea
90,Guinea Bissau
91,Guyana
92,Haiti
93,Ciudad del Vaticano
94,Honduras
95,Hong Kong
96,Hungría
97,Islandia
98,India
99,Indonesia
100,Irán
101,Iraq
102,Irlanda
103,Israel
104,Italia
105,Jamaica
106,Japón
107,Jordania
108,Kazajstán
109,Kenia
110,Kiribati
111,Corea del Norte
112,Corea del Sur
113,Kosovo
114,Europa del Sur
115,Kuwait
116,Kirguistán
117,Laos
118,Letonia
119,Líbano
120,Lesotho
121,Liberia
122,Libia
123,Liechtenstein
124,Lituania
125,Luxemburgo
126,Macao
127,Macedonia
128,Madagascar
129,Malawi
130,Malasia
131,Maldivas
132,Malí
133,Malta
134,Islas Marshall
135,Martinica
136,Mauritania
137,Mauricio
138,Mayotte
139,México
140,Micronesia
141,Moldavia
142,Mónaco
143,Mongolia
144,Montenegro
145,Montserrat
146,Marruecos
147,Mozambique
148,"Myanmar, Birmania"
149,Namibia
150,Nauru
151,Nepal
152,"Países Bajos, Holanda"
153,Antillas Holandesas
154,Nueva Caledonia
155,Nueva Zelanda
156,Nicaragua
157,Niger
158,Nigeria
159,Niue
160,Marianas del Norte
161,Noruega
162,Omán
163,Pakistán
164,Palau
165,Palestina
166,Panamá
167,Papúa-Nueva Guinea
168,Paraguay
169,Perú
170,Filipinas
171,Isla Pitcairn
172,Polonia
173,Portugal
174,Puerto Rico
175,Qatar
176,Reunión
177,Rumanía
178,Federación Rusa
179,Ruanda
180,San Cristobal y Nevis
181,Santa Lucía
182,San Vincente y Granadinas
183,Samoa
184,San Marino
185,Santo Tomé y Príncipe
186,Arabia Saudita
187,Senegal
188,Serbia
189,Seychelles
190,Sierra Leona
191,Singapur
192,Eslovaquia
193,Eslovenia
194,Islas Salomón
195,Somalia
196,Sudáfrica
197,Sudán del Sur
198,España
199,Sri Lanka
200,Sudán
201,Surinam
202,Swazilandia
203,Suecia
204,Suiza
205,Siria
206,Taiwan
207,Tadjikistan
208,Tanzania
209,Tailandia
210,Tíbet
211,Timor Oriental
212,Togo
213,Tokelau
214,Tonga
215,Trinidad y Tobago
216,Túnez
217,Turquía
218,Turkmenistan
219,Islas Turcas y Caicos
220,Tuvalu
221,Uganda
222,Ucrania
223,Emiratos Árabes Unidos
224,Reino Unido
225,Estados Unidos
226,Uruguay
227,Uzbekistán
228,Vanuatu
229,Ciudad del Vaticano
230,Venezuela
231,Vietnam
232,Islas Virgenes Británicas
233,Islas Virgenes Americanas
234,Wallis y Futuna
235,Sáhara Occidental
236,Yemen
237,Zambia
238,Zimbabwe
